room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,name,latitude,longitude,last_modified
16074084,102957874,Shared room,,3,3,5,4,1,60,,SHARE BEDROOM IN HOUSE // BEST LOCATION OF MIAMI !,25.803247,-80.188888,41:20.3
13097844,46023313,Shared room,,3,27,5,2,1,37,,Comfy Couch in Historic 1930's Miami Building!,25.799536,-80.188298,41:18.4
15301185,92728943,Shared room,,5,41,5,3,1,40,,Miami Crash Pad 7,25.793043,-80.24691,41:18.4
17011949,114034019,Shared room,,5,0,0,2,1,30,,Y - Queen bed near everything !,25.753283,-80.214515,41:17.7
17433333,46979022,Shared room,,7,5,5,2,1,35,,"Relax, clean & cozy by Coral Way",25.74897,-80.245553,41:17.6
6571669,34371905,Shared room,,5,0,0,1,1,250,,Great 1Br  apartment on South Beach,25.782167,-80.142766,41:14.4
5620401,4115532,Shared room,,3,0,0,3,1,300,,Close to Ultra Music Fest!!,25.799266,-80.18541,41:14.4
9172171,47353758,Shared room,,5,5,4.5,2,1,199,,Best location in South Beach,25.788384,-80.143552,41:13.3
7651227,22135209,Shared room,,5,1,0,2,1,173,,South beach living room for rent,25.788135,-80.144174,41:12.3
13108116,51462207,Shared room,,3,1,0,3,1,180,,Den adapted to private bedroom,25.800154,-80.190582,41:12.3
15802526,101958562,Shared room,,3,1,0,8,1,170,,Excellent House Welcome,25.828473,-80.217377,41:12.3
17484534,118459747,Shared room,,5,1,0,6,1,143,,Sunny sunny house,25.760659,-80.192629,41:12.3
13494924,46988181,Shared room,,5,1,0,4,1,144,,Shared Bedroom Miami Downtown,25.773227,-80.186769,41:12.3
5579079,11108621,Shared room,,3,4,4.5,1,1,133,,Stay With Me For WMC!,25.798206,-80.193559,41:10.5
17499266,118595077,Shared room,,5,0,0,6,1,137,,Small house sunshine feet,25.760925,-80.19118,41:10.5
18120193,25169829,Shared room,,5,1,0,4,1,120,,Beautiful waterfront condo in the Heart of SoBe,25.787418,-80.14421,41:09.2
6518974,34091105,Shared room,,7,33,5,2,1,101,,Catalina 27 sailboat sleep 2 pp,25.72668,-80.238315,41:09.1
17628845,66831204,Shared room,,3,0,0,2,1,109,,15 MIN WALK TO  @BAYFRONT PARK. Make it your home!,25.779888,-80.202047,41:09.1
13689427,7449937,Shared room,,5,0,0,1,1,100,,LARGE BEAUTIFUL STUDIO TO SHARE ON SOUTH BEACH,25.789675,-80.143878,41:03.6
17850280,8332010,Shared room,,5,0,0,2,1,100,,Beautiful Studiolike space in a resort style condo,25.787051,-80.144793,41:03.6
10229528,44939467,Shared room,,6,4,5,2,1,90,,2clean beds/near Mia Int'l  airport,25.811539,-80.269125,41:03.6
16691495,99753060,Shared room,,6,0,0,1,1,100,,House in Hialeah,25.825912,-80.261698,41:03.6
16087059,34320146,Shared room,,3,1,0,2,1,85,,Cool Wynwood Artist Studio,25.796095,-80.205373,41:03.6
15509793,62456085,Shared room,,5,11,5,2,1,100,,Castle in the sky,25.77594,-80.189022,41:03.6
17695366,17398936,Shared room,,3,1,0,4,1,99,,10 MIN WALK TO ULTRA @BAYFRONT PARK,25.78058,-80.203577,41:03.6
16024645,74198907,Shared room,,3,0,0,1,1,80,,One bedroom apartment. Sofa bed,25.793365,-80.187496,41:02.0
12210945,65672322,Shared room,,6,0,0,2,1,70,,Dave's Art Room,25.757672,-80.259707,41:02.0
18474546,128133319,Shared room,,4,0,0,2,1,75,,Living room with amazing waterfront view,25.845628,-80.145953,41:02.0
17683749,45435914,Shared room,,5,0,0,2,1,70,,Cozy Den,25.764198,-80.190815,41:02.0
12715847,51462207,Shared room,,3,0,0,2,1,55,,living room share room airmatres,25.801136,-80.191887,41:01.1
16093043,104359573,Shared room,,5,2,0,2,1,50,,Queen Bed in Shared Space in Big Apartment w/Pool,25.783443,-80.143046,41:01.1
5837871,3703592,Shared room,,3,2,0,2,1,50,,GORGEOUS space with beautiful views,25.794214,-80.186458,41:01.1
13615075,42723756,Shared room,,5,4,5,5,1,45,,2 MINUTES FROM AIRPORT,25.786568,-80.254997,41:01.1
17890544,76853108,Shared room,,3,1,0,2,1,60,,5L- Shared Room 5 minutes from MIA,25.814253,-80.237442,41:01.1
11573817,50750502,Shared room,,5,0,0,2,1,55,,"Sunny, comfortable, one queen bed",25.764256,-80.189393,40:59.5
17888290,76853108,Shared room,,3,1,0,1,1,60,,5K - Shared room 5 minutes from MIA,25.812664,-80.236022,40:59.5
16438659,102918489,Shared room,,3,2,0,2,1,52,,Explore the best of Miami,25.782878,-80.194147,40:59.5
17898366,122474959,Shared room,,3,0,0,2,1,42,,"Cute, Quiet & Cozy Room",25.815539,-80.233342,40:59.5
11211214,44049649,Shared room,,3,24,4.5,2,1,57,,Zen Living Miami,25.791834,-80.18676,40:59.5
18551652,78216039,Shared room,,3,0,0,1,1,60,,Wonderful ocean view and awesome location!,25.794654,-80.187369,40:59.5
17976767,38951418,Shared room,,5,5,4.5,2,1,45,,Amazing South Beach water view in condo compound!,25.786796,-80.14356,40:59.5
13576123,36093154,Shared room,,6,31,5,1,1,42,,White Couch,25.808195,-80.276598,40:59.5
16963134,12262017,Shared room,,3,0,0,2,1,55,,Miami Loft share WYNWOOD creative,25.794673,-80.197531,40:59.5
9289966,48235637,Shared room,,7,1,0,2,1,50,,Dollhouse Stay for FEMALES,25.757799,-80.241821,40:59.5
17890433,76853108,Shared room,,3,0,0,1,1,50,,5M - Single bed 10 minutes from MIA,25.813599,-80.238484,40:59.5
17380879,45435914,Shared room,,5,9,5,3,1,56,,The real AIRBNB   in Miami,25.774117,-80.192646,40:59.5
17728236,118802433,Shared room,,3,0,0,4,1,40,,luxury aparmente Edgewater,25.801199,-80.188791,40:59.5
6975755,6258721,Shared room,,5,80,5,1,1,55,,Private living room in PH Brickell,25.761166,-80.190648,40:59.5
16547100,66624344,Shared room,,5,14,5,2,1,50,,ROOM ON 8 ST Pequeña Habana,25.765985,-80.207208,40:59.5
9952412,36093154,Shared room,,6,72,5,1,1,42,,Black sofa bed,25.810331,-80.275404,40:59.5
13940771,82916745,Shared room,,3,1,0,1,1,40,,1 sofa,25.846506,-80.175405,40:55.8
15968894,103720080,Shared room,,4,1,0,2,1,35,,"Cozy Bed, near to the beach, wynwood and downtown",25.84725,-80.1508,40:55.8
17553563,31092953,Shared room,,5,1,0,2,1,31,,"South Beach, Luxury, Living room,",25.781232,-80.143064,40:55.8
17349064,117218557,Shared room,,3,2,0,6,1,37,,near by sea，warm sunshine,25.777658,-80.194285,40:55.8
16158834,32936143,Shared room,,3,2,0,1,1,30,,Comfy couch minutes from the beach,25.782358,-80.195745,40:55.8
12988776,6618706,Shared room,,7,38,4,2,1,25,,Great place to stay in Miami,25.727365,-80.302231,40:55.8
17644099,114280015,Shared room,,3,1,0,1,1,38,,Sofá bed in living Room,25.846012,-80.174815,40:55.8
5797238,10287437,Shared room,,5,5,4,1,1,34,,Comfy couch in Downtown,25.774199,-80.1877,40:55.8
4751860,22726390,Shared room,,4,31,5,1,1,40,,A Daybed On The Bay ,25.847971,-80.147706,40:55.8
17829742,121585245,Shared room,,5,2,0,1,1,20,,Single bed in 2BR Hostel on South Beach,25.78692,-80.145425,40:55.8
14341030,82035026,Shared room,,3,6,4,1,1,27,,cozy sofa bed by the bay,25.801839,-80.188772,40:55.8
5242794,10287437,Shared room,,3,20,4.5,1,1,40,,PENTHOUSE VIEW DOWNTOW BUNK BED,25.791796,-80.186877,40:54.8
16287578,13813713,Shared room,,3,0,0,1,1,25,,Couch surf with cats on the bay,25.79084,-80.185378,40:54.8
17352577,117247428,Shared room,,3,0,0,8,1,38,,quitely warm,25.793882,-80.19831,40:54.8
7182607,10287437,Shared room,,3,24,4.5,1,1,40,,Luxury Accommodation Biscayne #3,25.792469,-80.185834,40:54.7
5184334,10287437,Shared room,,3,44,4.5,1,1,40,,SHARING LUXURY ACCOMODATION # 2,25.79223,-80.186739,40:54.7
15746157,42462542,Shared room,,6,3,4.5,4,1,32,,Affordable Wallbed by airport,25.75517,-80.275334,40:54.7
17829914,121585245,Shared room,,5,1,0,1,1,30,,Single bed in 2BR Hostel on South Beach,25.785717,-80.143837,40:54.7
15660832,32936143,Shared room,,3,3,5,1,1,20,,Comfy couch. Downtown Miami.,25.781447,-80.195138,40:54.7
18427613,89210413,Shared room,,3,0,0,1,1,29,,BEDS ON MIAMI ROOMS ON MIAMI,25.848597,-80.185831,40:54.7
5185086,10287437,Shared room,,3,11,4.5,1,1,40,,SHARE PENTHOUSE VIEW DOWNTOWN,25.793046,-80.188306,40:54.7
15953604,102957874,Shared room,,3,6,4,4,1,30,,SHARE BEDROOM IN HOUSE // BEST LOCATION OF MIAMI !,25.803063,-80.188324,40:54.7
5184486,10287437,Shared room,,3,37,4.5,1,1,35,,SHARING LUXURY ACCOMODATION # 4,25.793033,-80.186344,40:54.7
13309853,68381568,Shared room,,3,1,0,1,1,20,,Condo space close to downtown Miami,25.784788,-80.209649,40:54.7
17378880,117442055,Shared room,,5,0,0,1,1,30,,Shared Little Havana with patio,25.775431,-80.207797,40:54.7
5183264,10287437,Shared room,,3,36,4.5,1,1,30,,SHARING LUXURY ACCOMODATION # 1,25.792341,-80.186378,40:54.7
13902537,82419131,Shared room,,7,0,0,1,1,10,,Cama com luz,25.711445,-80.279989,40:54.7
17944317,76853108,Shared room,,3,1,0,2,1,22,,3F- Shared Room 5 minutes from MIA,25.813877,-80.23577,40:53.1
17944178,76853108,Shared room,,3,2,0,2,1,22,,2C - Shared Room 5 minutes from MIA,25.81427,-80.235805,40:53.0
16747763,99265604,Shared room,,5,1,0,1,1,20,,Twin Bed J1-Twins and Queens Miami Central,25.770881,-80.21894,40:53.0
17975552,76853108,Shared room,,3,0,0,2,1,22,,4i - Shared Room 5 minutos from MIA,25.812977,-80.235502,40:53.0
17944397,76853108,Shared room,,3,0,0,1,1,17,,4G-Shared Room 5 minutes from MIA,25.812511,-80.235305,40:53.0
16748579,99265604,Shared room,,5,9,4,2,1,30,,Queen bed D1-Twins and Queens Miami Central,25.770122,-80.217539,40:53.0
17927738,76853108,Shared room,,3,4,4.5,2,1,28,,1A - Shared room 5 minutes from MIA,25.814427,-80.237344,40:53.0
16747392,99265604,Shared room,,5,10,3.5,1,1,20,,Twin bed in Miami Center: 2e,25.770705,-80.217133,40:53.0
15020832,92728943,Shared room,,5,34,5,3,1,20,,Miami Crash 5,25.791234,-80.245283,40:53.0
16742683,99265604,Shared room,,5,3,3.5,1,1,20,,Twin Bed Z9-Twins and Queens Miami Central,25.770524,-80.21699,40:53.0
17943765,76853108,Shared room,,3,2,0,2,1,22,,1B - Shared Room  5 minutes from MIA,25.813755,-80.236958,40:53.0
16812076,99265604,Shared room,,5,13,4,1,1,20,,Twin bed in Miami Center: 4d,25.771601,-80.219124,40:53.0
18526513,99265604,Shared room,,5,0,0,1,1,20,,Twin Bed J7-Twins and Queens Miami Central,25.770798,-80.21775,40:53.0
14872154,92728943,Shared room,,5,37,4.5,2,1,20,,Miami Crash Pad 2,25.792647,-80.247307,40:53.0
18525835,99265604,Shared room,,5,0,0,1,1,20,,Twin Bed J2-Twins and Queens Miami Central,25.772229,-80.217284,40:53.0
18526264,99265604,Shared room,,5,0,0,1,1,20,,Twin Bed J5-Twins and Queens Miami Central,25.772099,-80.219087,40:53.0
18526031,99265604,Shared room,,5,0,0,1,1,20,,Twin Bed J3-Twins and Queens Miami Central,25.770739,-80.218504,40:53.0
18526448,99265604,Shared room,,5,0,0,1,1,20,,Twin Bed J6-Twins and Queens Miami Central,25.77032,-80.219001,40:51.1
16747984,99265604,Shared room,,5,13,4,2,1,30,,Queen bed in Miami Center: 3a,25.771682,-80.217206,40:51.1
18526153,99265604,Shared room,,5,0,0,1,1,20,,Twin Bed J4-Twins and Queens Miami Central,25.770845,-80.217187,40:51.1
16747059,99265604,Shared room,,5,13,4.5,2,1,30,,Queen bed in Miami Center: 1b,25.771088,-80.217427,40:51.1
16748228,99265604,Shared room,,5,19,4,2,1,30,,Queen bed in Miami Center: 3b,25.772112,-80.2187,40:51.1
18537962,99265604,Shared room,,5,0,0,2,1,30,,Queen Bed J1 -Twins and Queens Miami Central,25.77014,-80.21863,40:51.1
16738071,99265604,Shared room,,5,13,4.5,1,1,20,,Twin bed in Miami Center: 2f,25.772312,-80.219124,40:51.1
16688390,99265604,Shared room,,5,9,3.5,1,1,19,,Twin Bed xq-Twins and Queens Miami Central,25.771028,-80.217403,40:51.1
16769488,99265604,Shared room,,5,12,4,2,1,30,,Queen bed in Miami Center: 1a,25.772305,-80.219079,40:51.1
16811830,99265604,Shared room,,5,11,3.5,1,1,20,,Twin bed in Miami Center: 2b,25.772236,-80.217378,40:51.1
16811342,99265604,Shared room,,5,11,4,1,1,20,,Twin bed in Miami Center: 2a,25.771577,-80.217046,40:51.1
16769230,99265604,Shared room,,5,5,4.5,1,1,20,,Twin bed in Miami Center: 1a,25.770959,-80.218627,40:51.1
16742985,99265604,Shared room,,5,7,4.5,1,1,20,,Twin bed in Miami Center: 2d,25.770558,-80.219111,40:51.1
