room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,name,latitude,longitude,last_modified
11573817,50750502,Shared room,,5,0,0,2,1,55,,"Sunny, comfortable, one queen bed",25.764256,-80.189393,12:18.2
16769602,99265604,Shared room,,5,18,4,2,1,30,,Queen bed in Miami Center: 5a,25.771063,-80.217787,12:16.5
16748579,99265604,Shared room,,5,10,4,2,1,30,,Queen bed D1-Twins and Queens Miami Central,25.770122,-80.217539,12:16.5
16769488,99265604,Shared room,,5,14,3.5,2,1,30,,Queen bed in Miami Center: 1a,25.772305,-80.219079,12:16.5
15301185,92728943,Shared room,,5,47,5,3,1,20,,Miami Crash Pad 7,25.793043,-80.24691,12:16.5
15020832,92728943,Shared room,,5,39,5,3,1,20,,Miami Crash 5,25.791234,-80.245283,12:16.5
16748228,99265604,Shared room,,5,21,4,2,1,30,,Queen bed in Miami Center: 3b,25.772112,-80.2187,12:16.5
18537962,99265604,Shared room,,5,3,4,2,1,30,,Queen Bed J1 -Twins and Queens Miami Central,25.77014,-80.21863,12:16.5
16769340,99265604,Shared room,,5,20,4,1,1,20,,Twin bed in Miami Center: 1b,25.77153,-80.218486,12:16.5
16742683,99265604,Shared room,,5,3,3.5,1,1,20,,Twin Bed Z9-Twins and Queens Miami Central,25.770524,-80.21699,12:16.5
16738071,99265604,Shared room,,5,16,4.5,1,1,20,,Twin bed in Miami Center: 2f,25.772312,-80.219124,12:16.4
17890433,76853108,Shared room,,3,8,4.5,1,1,50,,5M - Single bed 10 minutes from MIA,25.813599,-80.238484,12:16.4
15301147,92728943,Shared room,,5,66,4.5,2,1,20,,Miami Crash Pad 6,25.793279,-80.247584,12:16.4
18539363,99265604,Shared room,,5,1,0,2,1,30,,Queen Bed J2 -Twins and Queens Miami Central,25.770496,-80.217884,12:16.4
17380879,45435914,Shared room,,5,9,5,3,1,56,,The real AIRBNB   in Miami,25.774117,-80.192646,12:16.4
17975552,76853108,Shared room,,3,2,0,2,1,22,,4i - Shared Room 5 minutos from MIA,25.812977,-80.235502,12:16.4
14827387,92728943,Shared room,,5,44,4.5,2,1,20,,Miami Crash Pad 1,25.791292,-80.246735,12:16.4
16742985,99265604,Shared room,,5,11,4.5,1,1,20,,Twin bed in Miami Center: 2d,25.770558,-80.219111,12:16.4
15953604,102957874,Shared room,,3,7,4,4,1,30,,SHARE BEDROOM IN HOUSE // BEST LOCATION OF MIAMI !,25.803063,-80.188324,12:14.7
16438659,102918489,Shared room,,3,3,4.5,2,1,52,,Explore the best of Miami,25.782878,-80.194147,12:14.7
6518974,34091105,Shared room,,7,34,5,2,1,96,,Catalina 27 sailboat sleep 2 pp,25.72668,-80.238315,12:14.7
18106776,25493521,Shared room,,3,0,0,2,1,56,,Cottage Retreat in Morningside,25.795628,-80.186334,12:14.7
17751383,72943049,Shared room,,6,12,4.5,5,1,39,,"Full Airbed, Sofa-bed and Sofa -$10 Airport ride",25.771541,-80.264123,12:14.7
17540232,118974392,Shared room,,3,0,0,2,1,25,,Miami Shared Room/ Guests/Travelers/ Welcomed,25.823581,-80.220405,12:14.7
15509793,62456085,Shared room,,5,12,5,2,1,100,,Castle in the sky,25.77594,-80.189022,12:14.7
11352901,34737327,Shared room,,3,0,0,2,1,26,,Cute Place - Close to Everything,25.807568,-80.200543,12:14.7
17695366,17398936,Shared room,,3,1,0,4,1,99,,10 MIN WALK TO ULTRA @BAYFRONT PARK,25.78058,-80.203577,12:14.7
17628845,66831204,Shared room,,3,2,0,2,1,109,,15 MIN WALK TO  @BAYFRONT PARK. Make it your home!,25.779888,-80.202047,12:14.7
18290819,63470949,Shared room,,5,3,4,1,1,16,,Comfy sofa in Downtown Miami,25.771345,-80.208839,12:14.7
17683749,45435914,Shared room,,5,1,0,2,1,70,,Cozy Den,25.764198,-80.190815,12:14.7
11396844,45617357,Shared room,,5,10,5,4,1,40,,Brickel Penthaus: Dbl. LR couches,25.76048,-80.198105,12:14.7
18971657,132325043,Shared room,,3,0,0,1,1,45,,Madison,25.779719,-80.194893,12:12.7
13494924,46988181,Shared room,,5,1,0,4,1,144,,Shared Bedroom Miami Downtown,25.773227,-80.186769,12:12.7
4351794,22590403,Shared room,,5,137,4.5,3,1,35,,Richmans Living Room,25.765292,-80.198555,12:12.7
17094743,18050503,Shared room,,3,11,4.5,2,1,35,,"Comfy Couch - Great Location ! Near Beach, Airport",25.828731,-80.220608,12:12.7
16547100,66624344,Shared room,,5,17,5,2,1,50,,ROOM ON 8 ST Pequeña Habana,25.765985,-80.207208,12:12.7
17433333,46979022,Shared room,,7,8,5,2,1,32,,"Relax, clean & cozy by Coral Way",25.74897,-80.245553,12:12.7
9289966,48235637,Shared room,,7,1,0,2,1,50,,Dollhouse Stay for FEMALES,25.757799,-80.241821,12:12.7
19082358,6296128,Shared room,,6,0,0,3,1,38,,⏭ Miami Shared CrashPad | Ready 4 You ⏮,25.795963,-80.274951,12:12.7
13576123,36093154,Shared room,,6,36,5,1,1,42,,White Couch,25.808195,-80.276598,12:12.7
19086437,127855983,Shared room,,6,0,0,1,1,424,,COMFY COUCH NEAR THE AIRPORT,25.781718,-80.261551,12:12.7
16897069,28259819,Shared room,,3,19,5,1,1,35,,Comfy couch in a shared space - city view,25.79149,-80.186495,12:12.7
18748686,99265604,Shared room,,5,0,0,1,1,15,,Twin Bed J8-Twins and Queens Miami Central,25.770249,-80.219056,12:12.7
11631106,59595991,Shared room,,5,14,5,2,1,38,,An Authentic Caribbean Experience C,25.763637,-80.219025,12:12.7
4476753,2197773,Shared room,,3,53,5,1,1,29,,Tiny Room #2,25.784562,-80.205086,12:12.7
6975755,6258721,Shared room,,5,87,5,1,1,55,,Private living room in PH Brickell,25.761166,-80.190648,12:12.7
17569255,39514625,Shared room,,3,0,0,2,1,21,,Cute Place - Close to Everything,25.808523,-80.199733,12:12.7
17944231,76853108,Shared room,,3,9,4.5,2,1,22,,2D - Shared Room 5 minutes from MIA,25.814177,-80.237108,12:12.7
15301270,92728943,Shared room,,5,43,4.5,2,1,20,,Miami Crash Pad 4,25.791051,-80.24689,12:12.7
6460399,11638388,Entire home/apt,,7,0,0,6,3,400,,Townhouse w garden / Coconut Grove,25.731034,-80.247923,12:10.7
17573784,10733730,Entire home/apt,,5,0,0,7,3,299,,Coconut Grove 3BR Furnished Apartment,25.745746,-80.237609,12:10.7
10877942,47102875,Entire home/apt,,7,0,0,16,9,3350,,Villa Carlotta - Castle Garden Pool Terrace for 20,25.700929,-80.311931,12:10.7
11546818,58164045,Entire home/apt,,10,0,0,4,4,225,,Family Home on Lake with Pool,25.719244,-80.337007,12:07.6
5916409,1482360,Entire home/apt,,7,1,0,5,2,169,,8440 South Miami 2/2 ,25.693013,-80.306314,12:07.6
14346937,87898931,Entire home/apt,,7,0,0,6,3,250,,Stunning East Kendall 3/2 beautiful  home.,25.686228,-80.324213,12:07.6
7809236,6204254,Entire home/apt,,7,1,0,5,2,300,,DADELAND MALL NEW 2 BED APARTMENT,25.687635,-80.314775,12:05.9
16380749,47102875,Entire home/apt,,7,0,0,16,8,2500,,Luxurious 8 Bedroom Villa w/ Private Pool,25.691289,-80.27446,12:04.3
8274532,42725241,Entire home/apt,,7,0,0,2,1,250,,Luxury living for 2 Dadeland Mall,25.687872,-80.312066,12:04.3
5519241,1482360,Entire home/apt,,7,5,4.5,5,2,159,,7290 Downtown Dadeland ,25.688121,-80.31357,12:04.3
2569717,345885,Entire home/apt,,7,0,0,5,2,289,,Christmas and New Years in Coral Gables,25.730598,-80.259641,12:04.3
5468387,15854351,Entire home/apt,,7,1,0,8,4,599,,2 Cottages &TinyHouse-Coconut Grove,25.718136,-80.252608,12:02.0
7507930,24635843,Entire home/apt,,7,0,0,3,1,151,,Spacious and bright Loft Dadeland,25.687019,-80.314294,12:02.0
1048614,5773507,Entire home/apt,,7,33,4.5,6,3,160,,Home Away From Home in the Grove,25.729107,-80.24926,12:02.0
7198429,37622684,Entire home/apt,,7,0,0,7,3,450,,Luxury loft,25.689157,-80.312315,12:02.0
5517958,1482360,Entire home/apt,,7,2,0,3,1,159,,8440 South Miami 1/1,25.693344,-80.306692,12:02.0
5219727,15854351,Entire home/apt,,7,26,5,4,2,340,,StoneCottage&TinyHouse-CoconutGrove,25.720272,-80.25287,12:00.1
3095351,15742143,Entire home/apt,,7,0,0,3,1,275,,Heated Pool Vine Ladden Coral Rock Cottage w/yard!,25.713589,-80.250396,12:00.1
16585698,109353855,Entire home/apt,,7,0,0,6,4,169,,Spacious modern home with pool,25.70724,-80.25502,11:58.4
6869353,35997267,Entire home/apt,,7,0,0,7,4,495,,BEAUTIFUL HOUSE ON CORAL LAKE,25.729557,-80.295641,11:57.5
