"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","latitude","longitude","last_modified"
"1",47334,213962,"Private room",NA,"Rogers Park",104,5,2,1,71,1,42.005062,-87.663468,"2015-02-18 02:52:27.076"
"2",52995,246104,"Entire home/apt",NA,"Pilsen",19,5,2,1,127,3,41.858316,-87.658006,"2015-02-18 00:39:46.050"
"3",56198,266109,"Entire home/apt",NA,"Bucktown",20,5,5,2,289,2,41.914429,-87.680347,"2015-02-18 01:57:40.360"
"4",62246,4856,"Entire home/apt",NA,"Margate Park",6,5,2,1,199,1,41.969436,-87.654173,"2015-02-18 01:00:19.468"
"5",67855,335208,"Shared room",NA,"Prairie Shores",70,4.5,1,1,50,1,41.846221,-87.617201,"2015-02-18 00:46:20.279"
"6",70379,356467,"Private room",NA,"Lake View",13,5,1,1,77,2,41.953392,-87.660273,"2015-02-18 02:54:52.321"
"7",78819,423710,"Private room",NA,"Magnolia Glen",56,5,2,1,64,2,41.987906,-87.660531,"2015-02-18 02:50:40.769"
"8",91935,495738,"Entire home/apt",NA,"Bowmanville",33,5,2,1,105,5,41.978701,-87.678737,"2015-02-18 00:55:55.698"
"9",94450,504470,"Entire home/apt",NA,"Andersonville",0,NA,1,1,115,2,41.978043,-87.664938,"2015-02-18 02:59:23.227"
"10",116594,586386,"Entire home/apt",NA,"Dearborn Park",30,4.5,8,2,641,1,41.860789,-87.629523,"2015-02-18 01:46:19.202"
"11",133262,654712,"Entire home/apt",NA,"West Town",9,5,2,2,96,14,41.892425,-87.680782,"2015-02-18 02:02:18.786"
"12",147688,481150,"Entire home/apt",NA,"Gold Coast",8,5,4,2,448,1,41.903487,-87.624597,"2015-02-18 02:53:19.200"
"13",153809,739689,"Private room",NA,"South Loop",57,5,3,1,122,1,41.86935,-87.633402,"2015-02-18 02:39:57.123"
"14",160983,770760,"Shared room",NA,"Ranch Triangle",34,5,2,1,96,1,41.914776,-87.65003,"2015-02-18 02:44:11.102"
"15",174029,770760,"Shared room",NA,"Lake View",25,4.5,16,1,45,1,41.944754,-87.667781,"2015-02-18 02:37:22.372"
"16",195775,952212,"Entire home/apt",NA,"West Town",21,5,2,1,128,3,41.89401,-87.661388,"2015-02-18 02:28:52.995"
"17",199666,770760,"Shared room",NA,"Ranch Triangle",3,4.5,1,1,64,1,41.914191,-87.649399,"2015-02-18 02:59:08.255"
"18",206767,87231,"Entire home/apt",NA,"Gold Coast",56,5,3,1,289,1,41.891926,-87.619226,"2015-02-18 02:19:04.561"
"19",219805,770760,"Shared room",NA,"Uptown",22,5,4,1,77,1,41.963886,-87.652008,"2015-02-18 02:10:24.869"
"20",221023,770760,"Shared room",NA,"Uptown",12,5,4,1,77,1,41.963863,-87.653341,"2015-02-18 01:34:45.216"
"21",240512,586386,"Entire home/apt",NA,"Lake View",52,4,4,1,96,1,41.953898,-87.648453,"2015-02-18 01:53:27.950"
"22",250354,1311953,"Entire home/apt",NA,"South Loop",23,5,2,1,218,4,41.860508,-87.623989,"2015-02-18 02:59:31.861"
"23",259730,1363214,"Entire home/apt",NA,"Gold Coast",8,4.5,2,1,180,4,41.903518,-87.626966,"2015-02-18 02:04:45.901"
"24",267015,178930,"Entire home/apt",NA,"Noble Square",121,5,2,1,140,2,41.903331,-87.66431,"2015-02-18 00:41:21.013"
"25",273277,770760,"Entire home/apt",NA,"Lake View",16,5,16,NA,449,1,41.94478,-87.668275,"2015-02-18 01:51:39.148"
"26",275385,770760,"Private room",NA,"Lake View",47,4.5,16,1,32,1,41.945406,-87.66756,"2015-02-18 02:25:33.291"
"27",277872,770760,"Private room",NA,"Lake View",22,5,16,1,58,1,41.946228,-87.668687,"2015-02-18 01:44:43.156"
"28",279594,1451844,"Entire home/apt",NA,"Margate Park",2,NA,2,1,128,3,41.969288,-87.649756,"2015-02-18 01:02:30.692"
"29",298321,1537881,"Private room",NA,"Woodlawn",35,5,3,1,55,2,41.782158,-87.590266,"2015-02-18 01:25:45.912"
"30",306169,247034,"Private room",NA,"University Village / Little Italy",88,5,2,1,96,2,41.860953,-87.660041,"2015-02-18 03:02:43.983"
"31",327695,391453,"Entire home/apt",NA,"East Ukrainian Village",31,5,4,2,165,3,41.90249,-87.676592,"2015-02-18 00:46:18.182"
"32",335679,366110,"Entire home/apt",NA,"Wicker Park",38,4.5,5,2,115,7,41.908991,-87.680788,"2015-02-18 01:14:23.344"
"33",338537,1719648,"Entire home/apt",NA,"Near North",54,5,2,1,231,3,41.891725,-87.63086,"2015-02-18 01:39:56.583"
"34",349265,1517871,"Entire home/apt",NA,"Hyde Park",7,5,7,4,481,7,41.80086,-87.589484,"2015-02-18 01:25:29.340"
"35",378947,764481,"Private room",NA,"Cragin",8,5,2,1,64,1,41.919403,-87.751627,"2015-02-18 01:16:52.554"
"36",383688,1291732,"Private room",NA,"Dearborn Park",10,5,2,1,32,3,41.862579,-87.627434,"2015-02-18 02:34:45.363"
"37",393010,1710155,"Entire home/apt",NA,"Lake View East",54,5,2,1,122,2,41.942498,-87.646221,"2015-02-18 01:07:04.033"
"38",397069,319478,"Entire home/apt",NA,"University Village / Little Italy",93,5,5,3,289,1,41.866891,-87.656325,"2015-02-18 00:45:03.638"
"39",400588,1837370,"Private room",NA,"Rogers Park",34,4.5,2,1,77,1,42.002235,-87.671242,"2015-02-18 02:36:36.911"
"40",407756,3908,"Entire home/apt",NA,"East Ukrainian Village",33,4.5,4,2,128,6,41.898604,-87.673476,"2015-02-18 02:36:39.941"
"41",424896,87231,"Entire home/apt",NA,"Gold Coast",65,4.5,4,1,289,1,41.891855,-87.618414,"2015-02-18 02:29:13.048"
"42",425765,2110407,"Private room",NA,"North Center",1,4,1,1,115,1,41.949942,-87.684241,"2015-02-18 00:59:32.277"
"43",428765,770760,"Shared room",NA,"Lake View",23,4.5,16,1,32,1,41.944616,-87.669588,"2015-02-18 02:47:18.380"
"44",442747,2200407,"Entire home/apt",NA,"Near North",0,NA,4,1,180,15,41.896063,-87.62627,"2015-02-18 01:50:46.772"
"45",446436,1905275,"Entire home/apt",NA,"Lake View",25,5,3,1,153,5,41.954327,-87.647834,"2015-02-18 02:51:34.377"
"46",455103,2204693,"Private room",NA,"South Loop",6,5,3,1,135,2,41.865168,-87.620575,"2015-02-18 02:28:50.610"
"47",458164,2278123,"Private room",NA,"Buena Park",26,4.5,2,1,83,1,41.95903,-87.648644,"2015-02-18 02:22:38.194"
"48",474254,2335646,"Private room",NA,"Bridgeport",29,4,2,1,26,7,41.834293,-87.644904,"2015-02-18 02:02:26.608"
"49",485214,1385332,"Private room",NA,"Bronzeville",3,5,2,1,62,2,41.832278,-87.623692,"2015-02-18 01:34:00.648"
"50",497235,2455147,"Entire home/apt",NA,"Lake View East",14,5,4,1,160,2,41.9432,-87.642188,"2015-02-18 01:26:51.371"
"51",521800,1549806,"Private room",NA,"Lake View",87,5,3,1,50,1,41.933377,-87.659117,"2015-02-18 01:20:07.128"
"52",529180,770760,"Shared room",NA,"Lake View",33,4.5,16,1,32,1,41.946066,-87.669055,"2015-02-18 00:53:52.047"
