room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
3351169,1192,16909744,Shared room,,Chicago,,Dearborn Park,88,4.5,2,1.0,,78.0,,2017-05-06 03:34:47.342351,41.8611,-87.627803,0101000020E61000002A55A2EC2DE855C0F54A598638EE4440
17547295,1192,56759579,Shared room,,Chicago,,Dearborn Park,5,5.0,3,1.0,,70.0,,2017-05-06 03:34:47.340083,41.868984,-87.627987,0101000020E61000000BD462F030E855C0A65F22DE3AEF4440
16986137,1192,77870165,Shared room,,Chicago,,West Loop Gate,13,5.0,2,1.0,,62.0,,2017-05-06 03:34:47.333182,41.880853,-87.640769,0101000020E61000009AD2FA5B02E955C0B0CA85CABFF04440
16442292,1192,57387860,Shared room,,Chicago,,Near North,1,0.0,1,1.0,,60.0,,2017-05-06 03:34:45.437902,41.891426,-87.627867,0101000020E610000035CF11F92EE855C0ED66463F1AF24440
15759473,1192,57387860,Shared room,,Chicago,,Near North,2,0.0,1,1.0,,60.0,,2017-05-06 03:34:45.435413,41.891374,-87.626933,0101000020E61000001FF296AB1FE855C09A40118B18F24440
15942308,1192,57387860,Shared room,,Chicago,,Near North,1,0.0,1,1.0,,60.0,,2017-05-06 03:34:45.433290,41.893318,-87.628071,0101000020E61000003A24B55032E855C0CD76853E58F24440
15926884,1192,57387860,Shared room,,Chicago,,Near North,1,0.0,1,1.0,,60.0,,2017-05-06 03:34:45.430317,41.891175,-87.626128,0101000020E610000008C72C7B12E855C0A301BC0512F24440
16297519,1192,57387860,Shared room,,Chicago,,Near North,0,0.0,1,1.0,,60.0,,2017-05-06 03:34:45.427367,41.892984,-87.626997,0101000020E61000002B6C06B820E855C0F6ECB94C4DF24440
15957773,1192,57387860,Shared room,,Chicago,,Near North,0,0.0,1,1.0,,60.0,,2017-05-06 03:34:45.419623,41.892833,-87.628395,0101000020E6100000137EA99F37E855C011E50B5A48F24440
2364469,1192,7391164,Shared room,,Chicago,,Wrigleyville,38,4.5,8,1.0,,60.0,,2017-05-06 03:34:45.406158,41.946169,-87.654718,0101000020E6100000908653E6E6E955C098BED7101CF94440
18378046,1192,41690970,Shared room,,Chicago,,Rogers Park,0,0.0,4,1.0,,51.0,,2017-05-06 03:34:45.403103,42.005661,-87.670134,0101000020E6100000037CB779E3EA55C06CEEE87FB9004540
15950510,1192,57387860,Shared room,,Chicago,,Near North,0,0.0,1,1.0,,60.0,,2017-05-06 03:34:45.400152,41.892744,-87.62754,0101000020E6100000A33B889D29E855C0A1D9756F45F24440
15036004,1192,12826022,Shared room,,Chicago,,Buena Park,4,4.5,1,1.0,,50.0,,2017-05-06 03:34:45.397807,41.957159,-87.64995,0101000020E61000004182E2C798E955C03909A52F84FA4440
16403903,1192,57387860,Shared room,,Chicago,,Near North,1,0.0,1,1.0,,60.0,,2017-05-06 03:34:45.393096,41.891984,-87.626359,0101000020E610000089230F4416E855C013471E882CF24440
2305280,1192,7391164,Shared room,,Chicago,,Wrigleyville,59,4.5,6,1.0,,60.0,,2017-05-06 03:34:45.389907,41.946619,-87.655407,0101000020E610000072A43330F2E955C0D862B7CF2AF94440
