room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
18162012,69233305,Shared room,,Logan Square,5,5,2,1,25,,41.929756,-87.710799,14:57.1
7805526,22215535,Shared room,,Little Village,52,4.5,2,1,35,,41.855038,-87.69254,14:55.0
4067570,2907254,Shared room,,West Rogers Park,104,4.5,2,1,31,,42.0169,-87.689048,14:55.0
15026595,94872049,Shared room,,Kenwood,20,5,2,1,38,,41.808984,-87.602968,14:55.0
15409046,64582798,Shared room,,Little Village,55,4.5,2,1,39,,41.843716,-87.721246,14:55.0
6050527,2907254,Shared room,,West Rogers Park,25,4.5,1,1,302,,42.017537,-87.687216,14:54.0
18269613,13782839,Shared room,,Old Town Triangle,0,0,2,1,190,,41.915506,-87.636086,14:52.8
9192419,15109028,Shared room,,Near East Side,9,5,2,1,200,,41.887213,-87.617102,14:52.8
4065712,19800170,Shared room,,Avondale,10,5,3,1,169,,41.943487,-87.705888,14:51.6
15983526,13784528,Shared room,,Uptown,1,0,4,1,150,,41.966665,-87.656838,14:51.6
3906329,19800170,Shared room,,Avondale,14,4.5,7,1,169,,41.943969,-87.706882,14:51.6
19348305,5760690,Shared room,,Lake View East,0,0,2,1,150,,41.936486,-87.64671,14:51.6
18811882,9257976,Shared room,,Noble Square,1,0,2,1,127,,41.900118,-87.661299,14:50.9
12741471,69299134,Shared room,,River North,25,4.5,4,1,115,,41.889388,-87.633729,14:50.2
18630147,72325383,Shared room,,South Loop,1,0,2,1,82,,41.870405,-87.624402,14:48.9
18630906,72325383,Shared room,,South Loop,1,0,2,1,82,,41.870071,-87.625964,14:48.9
19484339,136749135,Shared room,,East Garfield Park,0,0,4,1,100,,41.887437,-87.701599,14:48.9
13059396,72325383,Shared room,,South Loop,6,5,5,1,82,,41.871512,-87.626782,14:48.9
6349525,17189719,Shared room,,Near North,0,0,3,1,100,,41.903308,-87.632467,14:48.9
14942202,58012218,Shared room,,The Loop,14,5,2,1,95,,41.884754,-87.624795,14:48.9
589939,2885441,Shared room,,West Town,41,4.5,4,1,85,,41.890492,-87.6626,14:48.9
911086,4870995,Shared room,,West Town,6,4.5,5,1,90,,41.883362,-87.667606,14:48.9
7917156,7894229,Shared room,,Bucktown,14,5,2,1,65,,41.911394,-87.685668,14:47.2
4441167,6340184,Shared room,,Heart of Chicago,13,4.5,1,1,79,,41.858255,-87.674943,14:47.2
4096995,2880338,Shared room,,Ravenswood,12,4,4,1,70,,41.962781,-87.673385,14:47.2
19713344,138919510,Shared room,,Lake View East,1,0,2,1,69,,41.936986,-87.644792,14:47.2
19211899,103751048,Shared room,,Hyde Park,5,5,1,1,67,,41.80037,-87.593119,14:47.2
15379201,11949514,Shared room,,Belmont Central,7,5,3,1,72,,41.93721,-87.778544,14:47.2
16986137,77870165,Shared room,,West Loop Gate,25,4.5,2,1,74,,41.880853,-87.640769,14:47.1
17753985,62474296,Shared room,,Near North,11,5,2,1,70,,41.892922,-87.629257,14:47.1
5992601,31105437,Shared room,,East Garfield Park,0,0,2,1,55,,41.88608,-87.702624,14:46.2
18378046,41690970,Shared room,,Rogers Park,0,0,4,1,59,,42.005661,-87.670134,14:46.2
8273329,41690970,Shared room,,Rogers Park,3,4,1,1,49,,42.006337,-87.671078,14:46.2
10999085,7391164,Shared room,,Wrigleyville,29,4.5,4,1,40,,41.945123,-87.654818,14:46.2
15125720,31140816,Shared room,,Lathrop Homes,1,0,1,1,55,,41.931963,-87.675046,14:46.2
15233684,96225987,Shared room,,Englewood,2,0,2,1,50,,41.765318,-87.631099,14:46.2
18835626,126136948,Shared room,,Jefferson Park,0,0,1,1,47,,41.976511,-87.786315,14:44.3
13999202,41690970,Shared room,,Rogers Park,2,0,1,1,49,,42.006565,-87.670271,14:44.3
790934,2907254,Shared room,,West Rogers Park,129,4.5,3,1,53,,42.015622,-87.688184,14:44.3
626296,2885441,Shared room,,West Town,30,4.5,4,1,43,,41.891189,-87.660914,14:44.3
14731359,54101222,Shared room,,Sheridan Park,16,4.5,2,1,49,,41.964776,-87.661899,14:44.3
18693698,37710907,Shared room,,O'Hare,4,5,2,1,55,,41.977923,-87.842138,14:44.3
16690759,52263454,Shared room,,Palmer Square,34,5,2,1,45,,41.922425,-87.698315,14:44.3
9303267,9148781,Shared room,,Bucktown,146,5,2,1,42,,41.910557,-87.677679,14:44.3
10834215,56104276,Shared room,,Logan Square,33,4.5,2,1,42,,41.926409,-87.718866,14:44.3
15240065,96896628,Shared room,,Wrigleyville,19,5,2,1,50,,41.948774,-87.652484,14:44.3
3351169,16909744,Shared room,,Dearborn Park,95,4.5,2,1,50,,41.8611,-87.627803,14:44.3
19716912,92799139,Shared room,,Humboldt Park,0,0,3,1,46,,41.902493,-87.72339,14:44.3
19410026,136078270,Shared room,,University Village / Little Italy,0,0,1,1,27,,41.865794,-87.656154,14:43.1
18339858,35653853,Shared room,,Rogers Park,0,0,1,1,15,,42.014837,-87.667376,14:43.1
13374561,56935298,Shared room,,Bridgeport,2,0,1,1,35,,41.838412,-87.634134,14:43.1
8484777,11344466,Shared room,,West Rogers Park,0,0,4,1,18,,42.012833,-87.703386,14:43.1
10278470,36300208,Shared room,,Belmont Gardens,1,0,1,1,28,,41.934055,-87.729929,14:41.5
479086,337459,Shared room,,Logan Square,114,4.5,7,1,15,,41.93245,-87.715281,14:41.5
13101192,42524732,Shared room,,Bronzeville,0,0,6,1,28,,41.815258,-87.621716,14:41.5
19243410,126136948,Shared room,,Jefferson Park,0,0,1,1,39,,41.975055,-87.786224,14:41.5
3742513,2907254,Shared room,,West Rogers Park,61,4.5,2,1,10,,42.017103,-87.68847,14:41.5
18713230,121970776,Shared room,,Rogers Park,1,0,1,1,35,,42.018727,-87.667966,14:41.5
19296878,19800170,Shared room,,Ravenswood,0,0,16,1,17,,41.975368,-87.687743,14:41.5
9679005,36300208,Shared room,,Belmont Gardens,5,5,1,1,28,,41.932869,-87.72969,14:40.4
12805646,42524732,Shared room,,Bronzeville,3,4.5,4,1,19,,41.814405,-87.620099,14:40.4
1475647,2907254,Shared room,,West Rogers Park,56,4.5,1,1,25,,42.017013,-87.687183,14:40.4
2305280,7391164,Shared room,,Wrigleyville,65,4.5,6,1,35,,41.946619,-87.655407,14:40.4
7973300,26927186,Shared room,,Logan Square,41,4.5,2,1,25,,41.932209,-87.720664,14:40.4
2364469,7391164,Shared room,,Wrigleyville,45,4.5,8,1,30,,41.946169,-87.654718,14:40.4
19143990,48005381,Shared room,,Old Irving Park,6,5,1,1,25,,41.957092,-87.741841,14:40.4
12467348,33323421,Shared room,,Uptown,53,5,1,1,20,,41.974147,-87.657399,14:40.4
19744499,139254466,Shared room,,Rogers Park,0,0,2,1,40,,42.003565,-87.662437,14:40.4
19312232,130466508,Shared room,,Near West Side,0,0,1,1,18,,41.876917,-87.688566,14:40.4
4351295,2907254,Shared room,,West Rogers Park,40,5,1,1,25,,42.015755,-87.686777,14:38.3
1461451,2907254,Shared room,,West Rogers Park,120,4.5,1,1,25,,42.015898,-87.688268,14:38.3
3994046,2907254,Shared room,,West Rogers Park,59,5,1,1,15,,42.01537,-87.687076,14:38.3
17680767,2907254,Shared room,,Margate Park,4,5,1,1,25,,41.972056,-87.654338,14:38.3
6039038,2907254,Shared room,,West Rogers Park,60,4.5,2,1,25,,42.017139,-87.688081,14:38.3
5569521,2907254,Shared room,,West Rogers Park,68,4.5,2,1,30,,42.015551,-87.687618,14:38.3
14646743,7689661,Shared room,,Kenwood,33,5,3,1,35,,41.802856,-87.594764,14:38.3
15618206,2907254,Shared room,,Uptown,13,4.5,2,1,30,,41.973169,-87.65493,14:38.3
17617260,87491745,Shared room,,Uptown,4,4.5,2,1,33,,41.973669,-87.656271,14:38.3
14126662,2907254,Shared room,,Margate Park,29,4.5,1,1,21,,41.972507,-87.654736,14:38.3
18664979,58244317,Shared room,,Albany Park,7,5,1,1,25,,41.959443,-87.717048,14:38.3
4365466,2907254,Shared room,,West Rogers Park,63,4.5,2,1,17,,42.015383,-87.688761,14:38.3
18728582,58244317,Shared room,,Albany Park,5,4,1,1,19,,41.960872,-87.716753,14:38.3
18486947,58244317,Shared room,,Albany Park,6,4,1,1,19,,41.960664,-87.718343,14:38.3
18728672,58244317,Shared room,,Albany Park,4,5,1,1,25,,41.959886,-87.717954,14:38.3
18728452,58244317,Shared room,,Albany Park,4,4.5,1,1,19,,41.960829,-87.716831,14:37.1
18728533,58244317,Shared room,,Albany Park,4,4,1,1,18,,41.959246,-87.716813,14:37.1
12192041,65679648,Shared room,,Heart of Chicago,71,4.5,1,1,25,,41.853163,-87.683138,14:37.1
12221851,65679648,Shared room,,Heart of Chicago,71,4.5,1,1,25,,41.853591,-87.684246,14:37.1
13978463,2907254,Shared room,,Uptown,36,4.5,1,1,17,,41.972037,-87.656472,14:37.1
18890307,691000,Shared room,,Englewood,1,0,6,1,15,,41.776177,-87.654194,14:37.1
12221938,65679648,Shared room,,Heart of Chicago,55,4.5,1,1,25,,41.855251,-87.68328,14:37.1
14632053,7689661,Shared room,,Kenwood,22,5,3,1,30,,41.803971,-87.596566,14:37.1
18728348,58244317,Shared room,,Albany Park,5,4,1,1,18,,41.959322,-87.71722,14:37.1
15466441,41676630,Shared room,,Humboldt Park,9,5,2,1,39,,41.906942,-87.691477,14:37.1
12211461,65679648,Shared room,,Heart of Chicago,77,4.5,1,1,22,,41.853236,-87.684445,14:37.1
18891447,691000,Shared room,,Englewood,1,0,8,1,15,,41.776174,-87.653694,14:37.1
18350616,7689661,Shared room,,Englewood,8,4.5,2,1,22,,41.78935,-87.634114,14:37.1
19703847,92799139,Shared room,,Humboldt Park,0,0,2,1,29,,41.904572,-87.722143,14:35.0
17637495,558687,Shared room,,Heart of Chicago,12,4,1,1,25,,41.856313,-87.66986,14:35.0
9096802,14677599,Shared room,,Lake View,10,5,1,1,20,,41.938137,-87.684585,14:35.0
10947455,7391164,Shared room,,Wrigleyville,43,4.5,4,1,27,,41.946247,-87.65538,14:35.0
7327846,22215535,Shared room,,Little Village,60,4.5,3,1,29,,41.854234,-87.69403,14:35.0
14649120,87491745,Shared room,,Uptown,16,4.5,1,1,17,,41.972051,-87.656195,14:35.0
12222103,65679648,Shared room,,Heart of Chicago,85,4.5,1,1,15,,41.854923,-87.682901,14:35.0
19057900,691000,Shared room,,Englewood,1,0,16,1,15,,41.775647,-87.655081,14:35.0
18591677,7689661,Shared room,,Englewood,5,5,2,1,22,,41.78812,-87.634468,14:35.0
18345901,58244317,Shared room,,Albany Park,4,5,1,1,19,,41.960574,-87.718565,14:35.0
8116676,42854275,Shared room,,Bronzeville,26,5,1,1,30,,41.806067,-87.620686,14:34.9
19530690,11520897,Shared room,,Douglas Park,2,0,1,1,20,,41.857536,-87.696447,14:34.9
9237713,48005381,Shared room,,Old Irving Park,28,5,5,1,25,,41.954907,-87.740348,14:33.0
19552743,137367542,Shared room,,Logan Square,0,0,2,1,15,,41.931469,-87.71694,14:33.0
18614285,92799139,Shared room,,Humboldt Park,2,0,1,1,26,,41.903838,-87.722368,14:33.0
18857798,131382889,Shared room,,East Ukrainian Village,4,5,1,1,39,,41.899813,-87.672335,14:33.0
14054841,64582798,Shared room,,Little Village,33,4.5,1,1,25,,41.845716,-87.722229,14:33.0
2305230,7391164,Shared room,,Wrigleyville,41,4.5,10,1,30,,41.946555,-87.655087,14:33.0
16088330,41544930,Shared room,,Margate Park,9,5,1,1,25,,41.972177,-87.652724,14:33.0
19763696,74134350,Shared room,,West Rogers Park,0,0,1,1,20,,41.995759,-87.70673,14:33.0
12039993,32147908,Shared room,,Heart of Chicago,52,4.5,2,1,16,,41.855819,-87.672429,14:33.0
12211684,65679648,Shared room,,Heart of Chicago,60,4.5,1,1,25,,41.853191,-87.682631,14:33.0
19499518,15149115,Shared room,,Humboldt Park,0,0,1,1,20,,41.905297,-87.707964,14:33.0
15619238,87491745,Shared room,,Uptown,19,5,1,1,15,,41.973424,-87.656031,14:33.0
15042311,41676630,Shared room,,Humboldt Park,20,4.5,2,1,39,,41.907012,-87.689348,14:33.0
17895062,46594815,Shared room,,Mayfair,19,5,1,1,21,,41.961169,-87.734227,14:32.9
17079001,60401879,Shared room,,Edgewater Beach,25,5,3,1,23,,41.98372,-87.656483,14:31.7
15436230,41676630,Shared room,,Humboldt Park,30,4.5,1,1,39,,41.907043,-87.690025,14:31.7
11440043,691000,Shared room,,Englewood,5,5,6,1,15,,41.777423,-87.654639,14:31.7
14089727,871911,Shared room,,Lake View,43,5,2,1,25,,41.945554,-87.651558,14:31.7
18996011,25439337,Shared room,,Lake Meadows,4,5,1,1,35,,41.834266,-87.617192,14:31.7
9050138,15612959,Shared room,,Rogers Park,43,4.5,1,1,10,,42.017682,-87.684084,14:31.7
18515480,7689661,Shared room,,Englewood,5,4.5,2,1,22,,41.788183,-87.634779,14:31.7
18342925,93385835,Shared room,,Fifth City,0,0,2,1,29,,41.877402,-87.7116,14:31.7
12222012,65679648,Shared room,,Heart of Chicago,37,4.5,1,1,25,,41.853717,-87.683263,14:31.7
18827152,92799139,Shared room,,Humboldt Park,2,0,2,1,25,,41.903287,-87.722677,14:31.7
5958652,558687,Shared room,,Heart of Chicago,88,4.5,1,1,25,,41.856982,-87.671531,14:31.7
18108580,5245228,Shared room,,Near West Side,16,5,1,1,30,,41.88036,-87.686126,14:31.7
19020047,109249300,Shared room,,East Garfield Park,4,5,2,1,15,,41.886414,-87.707473,14:31.7
14055052,64582798,Shared room,,Little Village,43,5,1,1,25,,41.844284,-87.722839,14:31.6
10404124,9893004,Entire home/apt,,West Town,4,5,8,4,400,,41.893375,-87.667538,11:56.8
15857734,7954670,Entire home/apt,,Wicker Park,2,0,6,3,500,,41.903581,-87.671825,07:44.2
11888263,46633642,Entire home/apt,,Near North,1,0,4,2,499,,41.891607,-87.626647,04:00.6
18523616,12243051,Entire home/apt,,West Town,1,0,4,2,309,,41.884872,-87.659592,03:45.1
8256750,16545544,Entire home/apt,,Wrigleyville,33,5,6,3,399,,41.947739,-87.658769,03:39.7
9885299,29821184,Entire home/apt,,Noble Square,59,4.5,16,3,199,,41.904136,-87.664906,02:11.9
6373795,33127842,Entire home/apt,,South Loop,5,5,4,1,112,,41.854275,-87.622317,59:27.5
17620294,63775419,Entire home/apt,,Lake View,0,0,8,4,850,,41.950394,-87.651186,57:55.2
11205769,1410585,Entire home/apt,,Wrigleyville,15,5,10,3,550,,41.946895,-87.654545,57:51.4
6655683,8206596,Entire home/apt,,Rogers Park,8,5,10,4,325,,42.002322,-87.66686,57:47.7
1502700,33004,Entire home/apt,,Old Town Triangle,4,4,10,4,350,,41.91406,-87.639344,57:45.8
13418984,46496942,Entire home/apt,,Lake View,17,5,8,3,325,,41.933706,-87.666954,57:36.4
6853914,683529,Entire home/apt,,Lake View,6,5,10,4,405,,41.937634,-87.683672,57:35.1
1741176,3180329,Entire home/apt,,Lake View East,128,5,7,3,329,,41.946866,-87.648858,57:31.3
8859482,483146,Entire home/apt,,Goose Island,17,4.5,6,2,199,,41.909001,-87.645467,54:21.5
19230946,9197700,Entire home/apt,,The Loop,0,0,3,1,195,,41.884555,-87.624506,54:18.2
11567275,41389387,Entire home/apt,,West Town,10,5,8,3,195,,41.891706,-87.670898,54:13.4
10587549,416401,Entire home/apt,,River North,0,0,4,1,149,,41.896279,-87.633431,53:27.4
9229949,416401,Entire home/apt,,River North,1,0,4,1,154,,41.896406,-87.633605,53:27.4
17849814,92172920,Entire home/apt,,Belmont Gardens,2,0,4,1,78,,41.926361,-87.732402,45:47.1
13866814,69532286,Entire home/apt,,Near North,68,4.5,3,0,80,,41.902299,-87.634367,45:43.5
397472,782802,Entire home/apt,,Rogers Park,191,4.5,5,2,45,,42.014548,-87.665107,45:28.5
17992312,121695859,Entire home/apt,,Jefferson Park,18,5,4,1,48,,41.966567,-87.781833,45:26.9
17512435,100513321,Entire home/apt,,Logan Square,0,0,16,0,1500,,41.91585,-87.690777,45:23.9
19412268,4069585,Entire home/apt,,Wicker Park,0,0,8,3,950,,41.907493,-87.675656,45:20.7
15671769,36232155,Entire home/apt,,Lake View,1,0,9,2,900,,41.941654,-87.651552,45:20.7
13763493,4303755,Entire home/apt,,Lake View,0,0,10,3,900,,41.939987,-87.663994,45:19.2
15468102,99263704,Entire home/apt,,Lake View,1,0,6,3,800,,41.944574,-87.657558,45:19.2
18583160,61097730,Entire home/apt,,Lake View,0,0,16,9,800,,41.95426,-87.65702,45:18.2
2659670,272671,Entire home/apt,,Uptown,66,5,15,5,975,,41.968213,-87.656264,45:18.2
15646513,3894883,Entire home/apt,,North Center,2,0,6,2,750,,41.958735,-87.676844,45:18.2
2708200,13858735,Entire home/apt,,Lake View,5,4.5,6,3,775,,41.946683,-87.65102,45:18.2
18432523,127757327,Entire home/apt,,Wrigleyville,6,5,12,4,800,,41.945797,-87.654531,45:18.2
17618194,9902328,Entire home/apt,,Lake View,3,4.5,12,3,950,,41.954105,-87.665932,45:18.2
10971343,56917234,Entire home/apt,,Avondale,16,5,16,9,899,,41.939596,-87.72553,45:18.2
13065303,2006711,Entire home/apt,,Hyde Park,4,5,6,2,650,,41.801843,-87.591923,45:13.2
18194698,110985389,Entire home/apt,,Ranch Triangle,9,5,10,4,516,,41.916148,-87.650598,45:13.2
6713438,10064287,Entire home/apt,,Old Town,10,5,6,3,600,,41.908558,-87.634456,45:13.2
16812497,6877726,Entire home/apt,,Bucktown,3,5,6,3,599,,41.913124,-87.672264,45:13.2
325842,1666599,Entire home/apt,,Sheffield Neighbors,24,5,6,5,379,,41.920263,-87.658916,45:11.8
9882149,46633642,Entire home/apt,,Near North,5,4,4,2,499,,41.891892,-87.628044,15:25.2
9211857,46633642,Entire home/apt,,Near North,14,4.5,4,2,499,,41.892173,-87.627502,15:25.2
18434433,73109704,Entire home/apt,,Lake View,0,0,5,2,360,,41.952228,-87.656237,15:25.2
9573258,11910936,Entire home/apt,,Woodlawn,14,4.5,14,6,301,,41.780954,-87.605241,15:25.2
9181257,46633642,Entire home/apt,,Near North,5,3,4,2,499,,41.891511,-87.628411,15:25.2
16202671,105821354,Entire home/apt,,Near North,0,0,2,1,399,,41.890543,-87.628214,15:25.2
17215459,115896160,Entire home/apt,,Lathrop Homes,8,5,10,3,400,,41.932008,-87.668941,15:23.5
5014976,24705990,Entire home/apt,,Uptown,23,5,6,3,466,,41.970848,-87.666945,15:23.5
16364317,3730806,Entire home/apt,,Magnolia Glen,0,0,4,2,395,,41.987532,-87.66449,15:23.5
15648407,63294892,Entire home/apt,,Graceland West,1,0,5,2,450,,41.960486,-87.668135,15:23.5
15373582,12243051,Entire home/apt,,Wicker Park,2,0,4,2,329,,41.906729,-87.676783,15:23.5
17178213,1139947,Entire home/apt,,West Town,0,0,10,5,350,,41.8942,-87.677979,15:23.5
7901480,28713548,Entire home/apt,,Lincoln Park,5,5,8,3,394,,41.911575,-87.6474,15:23.5
14732833,36088100,Entire home/apt,,Lake View,4,5,6,2,400,,41.934129,-87.677615,15:23.5
8669412,16292516,Entire home/apt,,Lake View,6,5,6,2,395,,41.942908,-87.650862,15:21.1
6528967,683529,Entire home/apt,,Roscoe Village,5,4.5,8,3,390,,41.93974,-87.681552,15:21.1
19205732,5907174,Entire home/apt,,Streeterville,0,0,4,2,349,,41.890791,-87.62314,15:21.1
7416788,26957265,Entire home/apt,,West Town,2,0,4,2,400,,41.890382,-87.682191,15:21.1
13154559,28684387,Entire home/apt,,West Town,2,0,6,3,400,,41.894836,-87.694753,15:21.1
18667466,23197213,Entire home/apt,,Bronzeville,0,0,10,2,350,,41.812889,-87.612187,15:21.1
16394258,15721792,Entire home/apt,,River North,4,5,6,2,399,,41.890056,-87.631823,15:21.1
18618558,80284404,Entire home/apt,,Lake View East,0,0,2,0,375,,41.944485,-87.64883,15:21.1
10874898,14898769,Entire home/apt,,Lake View East,1,0,4,1,350,,41.940726,-87.648216,15:19.9
15374367,97691217,Entire home/apt,,Park West,4,5,4,2,350,,41.930651,-87.642008,15:19.9
6153674,683529,Entire home/apt,,Roscoe Village,7,4.5,8,3,365,,41.941063,-87.682139,15:19.9
16401947,107456704,Entire home/apt,,Lake View,1,0,4,2,350,,41.934682,-87.678287,15:19.9
1965410,10129776,Entire home/apt,,Lake View,1,0,9,5,349,,41.948526,-87.661622,15:19.9
15687705,9294734,Entire home/apt,,Ravenswood,1,0,6,2,400,,41.973432,-87.694564,15:19.9
12413038,6188975,Entire home/apt,,Rogers Park,9,5,10,4,450,,42.008547,-87.679959,15:19.9
1807221,6707135,Entire home/apt,,Near West Side,92,5,6,1,356,,41.882964,-87.64991,15:19.9
15510883,71857880,Entire home/apt,,Wrigleyville,1,0,6,2,450,,41.949988,-87.658001,15:19.9
13941460,16050115,Entire home/apt,,Sheffield Neighbors,3,4.5,7,3,400,,41.923906,-87.65299,15:17.8
14820679,52680337,Entire home/apt,,Buena Park,0,0,8,3,385,,41.95744,-87.653479,15:17.8
6863178,683529,Entire home/apt,,Wrightwood Neighbors,14,5,10,4,475,,41.927901,-87.650639,15:17.8
1964520,10129776,Entire home/apt,,Lake View,1,0,6,3,389,,41.951004,-87.662031,15:17.8
13839781,13904021,Entire home/apt,,Wicker Park,6,4,12,4,350,,41.906917,-87.668342,15:17.8
14770316,12243051,Entire home/apt,,Wicker Park,18,4.5,10,5,329,,41.904123,-87.68168,15:17.8
12581627,15226305,Entire home/apt,,Fulton River District,13,5,5,2,380,,41.887525,-87.645244,15:17.8
7760721,26164763,Entire home/apt,,Wicker Park,3,5,6,4,460,,41.908854,-87.673574,15:17.8
1984545,4010906,Entire home/apt,,Bronzeville,4,4,3,3,419,,41.818323,-87.614625,15:17.8
9402896,46633642,Entire home/apt,,Near North,19,5,4,2,499,,41.891464,-87.626668,15:17.8
7914129,40912546,Entire home/apt,,Bucktown,19,5,7,2,450,,41.91106,-87.668451,15:16.0
15284426,10180316,Entire home/apt,,Lake View,6,5,6,2,350,,41.942531,-87.666119,15:16.0
2817608,791089,Entire home/apt,,Roscoe Village,11,4.5,6,3,380,,41.942782,-87.672215,15:16.0
4427562,586386,Entire home/apt,,South Loop,11,5,6,2,400,,41.860369,-87.630891,15:16.0
1321332,946954,Entire home/apt,,Lathrop Homes,30,5,16,4,350,,41.929127,-87.669207,15:16.0
18564279,61097730,Entire home/apt,,Lake View,8,5,14,5,335,,41.954047,-87.655726,15:16.0
14221987,40338599,Entire home/apt,,Bucktown,0,0,6,3,475,,41.915462,-87.671222,15:16.0
4456664,7722421,Entire home/apt,,Pilsen,17,5,6,1,398,,41.858332,-87.647595,15:16.0
15397491,30880666,Entire home/apt,,Lake View,5,5,4,1,350,,41.950623,-87.659809,15:16.0
7985234,40725954,Entire home/apt,,Graceland West,24,4.5,8,3,350,,41.955218,-87.664633,15:16.0
11971419,4982645,Entire home/apt,,Wicker Park,11,5,9,4,500,,41.90816,-87.682279,15:16.0
19345698,56977854,Entire home/apt,,Wrigleyville,1,0,5,2,350,,41.950514,-87.655328,15:16.0
15648867,100833088,Entire home/apt,,Near East Side,0,0,4,1,333,,41.886178,-87.618112,15:13.9
