room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
790934,1314,2907254,Shared room,,Chicago,,West Rogers Park,127,4.5,3,1.0,,70.0,,2017-06-11 14:24:22.027121,42.015622,-87.688184,0101000020E61000005A68E7340BEC55C08F8CD5E6FF014540
9146854,1314,24208742,Shared room,,Chicago,,Sheffield Neighbors,11,4.5,4,1.0,,70.0,,2017-06-11 14:24:20.501466,41.920903,-87.655779,0101000020E6100000D4997B48F8E955C0E7E44526E0F54440
4096995,1314,2880338,Shared room,,Chicago,,Ravenswood,12,4.0,4,1.0,,70.0,,2017-06-11 14:24:20.498515,41.962781,-87.673385,0101000020E61000007C2766BD18EB55C0E71A66683CFB4440
15379201,1314,11949514,Shared room,,Chicago,,Belmont Central,6,5.0,3,1.0,,72.0,,2017-06-11 14:24:20.496381,41.93721,-87.778544,0101000020E6100000CF9F36AAD3F155C0F9BD4D7FF6F74440
7917156,1314,7894229,Shared room,,Chicago,,Bucktown,12,5.0,2,1.0,,75.0,,2017-06-11 14:24:20.492666,41.911394,-87.685668,0101000020E61000007BFA08FCE1EB55C0A4E2FF8EA8F44440
17753985,1314,62474296,Shared room,,Chicago,,Near North,6,5.0,2,1.0,,66.0,,2017-06-11 14:24:20.490050,41.892922,-87.629257,0101000020E6100000DCF126BF45E855C080F0A1444BF24440
4441167,1314,6340184,Shared room,,Chicago,,Heart of Chicago,13,4.5,1,1.0,,79.0,,2017-06-11 14:24:20.487468,41.858255,-87.674943,0101000020E610000081EA1F4432EB55C07250C24CDBED4440
3351169,1314,16909744,Shared room,,Chicago,,Dearborn Park,92,4.5,2,1.0,,78.0,,2017-06-11 14:24:20.483785,41.8611,-87.627803,0101000020E61000002A55A2EC2DE855C0F54A598638EE4440
14942202,1314,58012218,Shared room,,Chicago,,The Loop,13,5.0,2,1.0,,75.0,,2017-06-11 14:24:20.479203,41.884754,-87.624795,0101000020E610000014ED2AA4FCE755C0AA807B9E3FF14440
17547295,1314,56759579,Shared room,,Chicago,,Dearborn Park,16,5.0,3,1.0,,70.0,,2017-06-11 14:24:20.471952,41.868984,-87.627987,0101000020E61000000BD462F030E855C0A65F22DE3AEF4440
16986137,1314,77870165,Shared room,,Chicago,,West Loop Gate,19,4.5,2,1.0,,73.0,,2017-06-11 14:24:20.468639,41.880853,-87.640769,0101000020E61000009AD2FA5B02E955C0B0CA85CABFF04440
15950510,1314,57387860,Shared room,,Chicago,,Near North,0,0.0,1,1.0,,60.0,,2017-06-11 14:24:18.520171,41.892744,-87.62754,0101000020E6100000A33B889D29E855C0A1D9756F45F24440
15942308,1314,57387860,Shared room,,Chicago,,Near North,1,0.0,1,1.0,,60.0,,2017-06-11 14:24:18.517753,41.893318,-87.628071,0101000020E61000003A24B55032E855C0CD76853E58F24440
16297519,1314,57387860,Shared room,,Chicago,,Near North,0,0.0,1,1.0,,60.0,,2017-06-11 14:24:17.464312,41.892984,-87.626997,0101000020E61000002B6C06B820E855C0F6ECB94C4DF24440
16403903,1314,57387860,Shared room,,Chicago,,Near North,1,0.0,1,1.0,,60.0,,2017-06-11 14:24:17.461711,41.891984,-87.626359,0101000020E610000089230F4416E855C013471E882CF24440
16332152,1314,57387860,Shared room,,Chicago,,Near North,0,0.0,1,1.0,,60.0,,2017-06-11 14:24:17.459314,41.891318,-87.628044,0101000020E6100000BD1C76DF31E855C0062B4EB516F24440
15759473,1314,57387860,Shared room,,Chicago,,Near North,2,0.0,1,1.0,,60.0,,2017-06-11 14:24:17.456869,41.891374,-87.626933,0101000020E61000001FF296AB1FE855C09A40118B18F24440
18378046,1314,41690970,Shared room,,Chicago,,Rogers Park,0,0.0,4,1.0,,59.0,,2017-06-11 14:24:17.452214,42.005661,-87.670134,0101000020E6100000037CB779E3EA55C06CEEE87FB9004540
15957773,1314,57387860,Shared room,,Chicago,,Near North,0,0.0,1,1.0,,60.0,,2017-06-11 14:24:17.446888,41.892833,-87.628395,0101000020E6100000137EA99F37E855C011E50B5A48F24440
8273329,1314,41690970,Shared room,,Chicago,,Rogers Park,3,4.0,1,1.0,,49.0,,2017-06-11 14:24:17.443628,42.006337,-87.671078,0101000020E61000002AC423F1F2EA55C09CE09BA6CF004540
15956956,1314,57387860,Shared room,,Chicago,,Near North,2,0.0,1,1.0,,60.0,,2017-06-11 14:24:17.437894,41.891642,-87.627729,0101000020E61000000D7041B62CE855C0B9DE365321F24440
15045268,1314,94987176,Shared room,,Chicago,,Lake View East,0,0.0,2,1.0,,59.0,,2017-06-11 14:24:17.435581,41.93876,-87.642451,0101000020E61000001492CCEA1DE955C08065A54929F84440
18835626,1314,126136948,Shared room,,Chicago,,Jefferson Park,0,0.0,1,1.0,,59.0,,2017-06-11 14:24:17.433117,41.976511,-87.786315,0101000020E6100000AC5626FC52F255C09697FC4FFEFC4440
