room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5550952,28782451,Entire home/apt,,,9,4.5,2,1.0,105.0,3.0,25.767411,-80.191252,2016-08-17 00:35:41.948548
12824366,18067392,Entire home/apt,,,8,5.0,3,1.0,92.0,2.0,25.760915,-80.260921,2016-08-17 00:35:38.353410
2241283,284544,Entire home/apt,,,7,4.0,14,4.0,599.0,,25.829279,-80.121426,2016-08-17 00:35:34.655376
9155838,47661603,Private room,,,6,4.0,3,1.0,80.0,1.0,25.750242,-80.201189,2016-08-17 00:35:32.382596
3584153,82466,Entire home/apt,,,12,4.5,4,0.0,150.0,2.0,25.779948,-80.130541,2016-08-17 00:35:30.509974
13313600,75246180,Entire home/apt,,,0,,4,2.0,82.0,1.0,25.762159,-80.191096,2016-08-17 00:35:29.089702
12405279,67083314,Shared room,,,2,,1,1.0,25.0,2.0,25.791812,-80.191143,2016-08-17 00:35:25.353646
14088522,32224301,Entire home/apt,,,1,,2,0.0,52.0,2.0,25.753289,-80.2328,2016-08-17 00:35:21.655488
13116972,31798229,Private room,,,0,,2,1.0,38.0,1.0,25.77974,-80.249248,2016-08-17 00:35:19.890867
14207918,3624597,Entire home/apt,,,1,,2,0.0,110.0,,25.77261,-80.185857,2016-08-17 00:35:17.015942
5365175,8943032,Entire home/apt,,,82,4.5,2,0.0,79.0,1.0,25.859452,-80.120592,2016-08-17 00:35:08.890700
11205646,58349322,Entire home/apt,,,0,,1,2.0,80.0,1.0,25.805597,-80.365484,2016-08-17 00:35:06.795028
11758032,49581766,Entire home/apt,,,17,5.0,2,1.0,125.0,1.0,25.694864,-80.161378,2016-08-17 00:34:56.743581
9747895,34919729,Entire home/apt,,,15,4.5,4,1.0,149.0,4.0,25.839698,-80.121477,2016-08-17 00:34:56.562652
9923199,51011106,Private room,,,9,5.0,2,1.0,70.0,5.0,25.855843,-80.119119,2016-08-17 00:34:51.944927
9532809,27382191,Entire home/apt,,,26,5.0,2,1.0,119.0,3.0,25.773098,-80.133746,2016-08-17 00:34:51.393173
12847194,64774228,Shared room,,,1,,2,1.0,40.0,1.0,25.820807,-80.198729,2016-08-17 00:34:49.803415
11735001,9536585,Private room,,,0,,2,1.0,100.0,2.0,25.775151,-80.137444,2016-08-17 00:34:47.622073
20187,59907,Entire home/apt,,,28,4.5,4,1.0,170.0,3.0,25.788009,-80.137135,2016-08-17 00:34:45.996320
14441160,71363488,Entire home/apt,,,0,,3,0.0,180.0,1.0,25.781644,-80.142323,2016-08-17 00:34:36.255260
14338945,87746575,Entire home/apt,,,0,,6,2.0,321.0,4.0,25.775608,-80.131332,2016-08-17 00:34:30.347822
10726229,47722377,Entire home/apt,,,0,,3,1.0,199.0,2.0,25.782144,-80.14229,2016-08-17 00:34:28.479764
8541760,4473768,Private room,,,3,5.0,1,1.0,42.0,1.0,25.766164,-80.267609,2016-08-17 00:34:24.042796
6849319,33526479,Entire home/apt,,,2,,4,1.0,179.0,3.0,25.765332,-80.194075,2016-08-17 00:34:22.279984
12709735,65136456,Private room,,,0,,2,1.0,40.0,1.0,25.694814,-80.317948,2016-08-17 00:34:20.234250
9468793,46743788,Entire home/apt,,,12,5.0,2,1.0,69.0,2.0,25.749533,-80.24971,2016-08-17 00:34:18.892517
