room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4774440,9419684,Entire home/apt,,,1,,5,,400.0,,25.759575,-80.193152,2016-11-18 07:44:06.854902
13912207,82400390,Shared room,,,0,,1,,100.0,1.0,25.716417,-80.27686,2016-11-18 07:43:39.985942
15983166,36908472,Entire home/apt,,,1,,5,,94.0,1.0,25.761125,-80.220527,2016-11-18 07:43:38.208643
6870252,4824268,Private room,,,0,,4,,130.0,14.0,25.794195,-80.18759,2016-11-18 07:43:06.016127
15773969,53018859,Private room,,,3,5.0,2,,27.0,1.0,25.763062,-80.254897,2016-11-18 07:42:46.649656
12386007,63299409,Private room,,,25,4.5,4,,52.0,1.0,25.859114,-80.120141,2016-11-18 07:42:44.271192
1696720,4606619,Entire home/apt,,,3,5.0,4,,119.0,3.0,25.748059,-80.247326,2016-11-18 07:42:38.107942
15598643,14376193,Private room,,,0,,2,,79.0,2.0,25.760824,-80.210367,2016-11-18 07:42:33.903401
3897535,3542385,Private room,,,3,5.0,2,,129.0,,25.786752,-80.191667,2016-11-18 07:42:21.426318
12507240,21959578,Entire home/apt,,,18,5.0,4,,149.0,3.0,25.772245,-80.131735,2016-11-18 07:42:18.749758
15324444,11551074,Entire home/apt,,,1,,2,,55.0,2.0,25.839579,-80.186156,2016-11-18 07:42:03.487733
3187086,11381137,Entire home/apt,,,6,4.0,6,,254.0,1.0,25.692042,-80.158763,2016-11-18 07:41:59.061134
13902113,25601350,Entire home/apt,,,0,,12,,4000.0,1.0,25.772658,-80.139141,2016-11-18 07:41:23.900487
14819304,12944330,Entire home/apt,,,3,4.5,3,,49.0,,25.79238,-80.141199,2016-11-18 07:41:16.587565
9861085,20119900,Entire home/apt,,,3,5.0,4,,170.0,2.0,25.807036,-80.185973,2016-11-18 07:41:07.819237
12069195,29896020,Private room,,,0,,1,,60.0,1.0,25.857134,-80.128109,2016-11-18 07:41:04.968539
2608199,9387829,Private room,,,0,,2,,149.0,1.0,25.774984,-80.188956,2016-11-18 07:41:01.367797
11909377,30942702,Entire home/apt,,,0,,3,,199.0,3.0,25.767593,-80.188008,2016-11-18 07:40:31.770459
15267147,42615143,Private room,,,3,,2,,65.0,2.0,25.772826,-80.199548,2016-11-18 07:40:29.261752
15621466,100704906,Shared room,,,0,,3,,150.0,1.0,25.796366,-80.192522,2016-11-18 07:40:26.351845
4846324,24936858,Entire home/apt,,,24,4.5,4,,150.0,2.0,25.802316,-80.196501,2016-11-18 07:39:50.253536
14726967,91647771,Private room,,,2,,2,,79.0,2.0,25.776052,-80.131841,2016-11-18 07:39:32.424614
