room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4887563,25145442,Entire home/apt,,The Loop,7,5.0,4.0,2.0,400.0,3.0,41.884437,-87.628362,2015-11-27 17:57:50.876158
4564206,8756428,Entire home/apt,,Lake View,34,5.0,,3.0,245.0,2.0,41.942734,-87.650395,2015-11-27 17:57:08.772089
7825308,40425145,Private room,,Old Irving Park,4,4.5,2.0,1.0,55.0,1.0,41.959656,-87.731078,2015-11-27 17:57:03.674999
3129878,15892068,Private room,,Hyde Park,8,4.5,2.0,1.0,80.0,1.0,41.80091,-87.606098,2015-11-27 17:56:30.978747
3302759,16680094,Entire home/apt,,Ukrainian Village,28,4.5,,3.0,299.0,3.0,41.899859,-87.680303,2015-11-27 17:55:57.791395
6423714,21383012,Entire home/apt,,Logan Square,11,5.0,4.0,2.0,89.0,,41.916112,-87.693741,2015-11-27 17:55:54.830994
4558985,1385332,Private room,,Bronzeville,0,,2.0,1.0,70.0,1.0,41.829935,-87.621252,2015-11-27 17:55:50.220776
6514337,32284055,Private room,,Buena Park,9,5.0,2.0,1.0,40.0,1.0,41.959257,-87.65088,2015-11-27 17:55:41.596435
6489617,24527354,Entire home/apt,,The Loop,1,5.0,3.0,1.0,245.0,7.0,41.88642,-87.62097,2015-11-27 17:55:29.082277
4979104,25668097,Entire home/apt,,Near North,1,3.0,2.0,0.0,85.0,1.0,41.901037,-87.631044,2015-11-27 17:55:25.833015
873628,4611613,Private room,,River West,52,5.0,1.0,1.0,75.0,2.0,41.893969,-87.649754,2015-11-27 17:55:18.533733
8025048,36431590,Private room,,Old Town Triangle,0,,2.0,1.0,90.0,1.0,41.912384,-87.640617,2015-11-27 17:54:28.302948
7517416,39387788,Entire home/apt,,Jefferson Park,8,4.5,,3.0,159.0,2.0,41.963195,-87.752076,2015-11-27 17:54:15.970616
8882828,966003,Entire home/apt,,Uptown,3,4.5,5.0,2.0,87.0,2.0,41.975945,-87.668343,2015-11-27 17:53:48.775270
6900422,18742332,Entire home/apt,,Irving Park,0,,4.0,3.0,285.0,1.0,41.948794,-87.708568,2015-11-27 17:53:44.460987
6364554,9492593,Private room,,Palmer Square,8,5.0,2.0,1.0,80.0,1.0,41.922933,-87.699472,2015-11-27 17:53:30.916915
9433476,48532390,Private room,,Heart of Chicago,0,,2.0,1.0,39.0,1.0,41.85625,-87.673417,2015-11-27 17:52:53.538801
9021000,47097944,Entire home/apt,,Lake View,4,5.0,3.0,0.0,100.0,1.0,41.954265,-87.669165,2015-11-27 17:52:01.161599
1797957,9429477,Entire home/apt,,Near West Side,10,4.5,4.0,2.0,155.0,1.0,41.880518,-87.654553,2015-11-27 17:51:37.140430
6822859,446560,Private room,,Near West Side,25,5.0,1.0,1.0,88.0,1.0,41.878074,-87.648451,2015-11-27 17:51:24.853905
2778030,399682,Private room,,Bronzeville,60,4.5,2.0,1.0,60.0,1.0,41.827335,-87.618709,2015-11-27 17:51:17.837741
4322595,18009649,Private room,,Old Town,3,4.5,2.0,1.0,130.0,1.0,41.906125,-87.635515,2015-11-27 17:50:52.952368
