room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3987824,20671894,Entire home/apt,,Bridgeport,65,5.0,6,1.0,100.0,3.0,41.831703,-87.646311,2016-06-21 05:17:19.674108
11608637,56939491,Entire home/apt,,Gold Coast,12,5.0,3,1.0,125.0,1.0,41.897046,-87.623919,2016-06-21 05:17:09.200934
7689809,40385929,Shared room,,Sheffield Neighbors,0,,1,1.0,200.0,1.0,41.920575,-87.657316,2016-06-21 05:16:59.230397
11120870,33774922,Entire home/apt,,Park West,2,,2,1.0,100.0,1.0,41.926475,-87.644097,2016-06-21 05:16:47.286522
7432304,16480011,Private room,,Little Village,29,4.5,2,1.0,36.0,2.0,41.852948,-87.700261,2016-06-21 05:16:37.898786
9237713,48005381,Shared room,,Old Irving Park,3,5.0,4,1.0,25.0,1.0,41.954907,-87.740348,2016-06-21 05:16:32.065248
1931912,8121010,Entire home/apt,,Portage Park,83,4.5,5,2.0,86.0,1.0,41.954323,-87.771584,2016-06-21 05:16:24.084427
7982740,26540044,Entire home/apt,,Sheffield Neighbors,6,5.0,4,1.0,119.0,2.0,41.921426,-87.657619,2016-06-21 05:16:20.555269
7066157,37049273,Entire home/apt,,Noble Square,10,4.5,6,2.0,150.0,1.0,41.900622,-87.665095,2016-06-21 05:16:16.217650
12073269,6224544,Private room,,Uptown,2,,4,1.0,65.0,1.0,41.967553,-87.654231,2016-06-21 05:16:01.027058
7476702,39154185,Private room,,Bucktown,79,5.0,2,1.0,95.0,,41.921429,-87.686033,2016-06-21 05:15:53.734040
6673071,31719241,Entire home/apt,,Lake View,6,5.0,6,4.0,599.0,3.0,41.942036,-87.661693,2016-06-21 05:15:40.724689
4736295,24451760,Entire home/apt,,Bucktown,32,4.5,3,1.0,120.0,1.0,41.917354,-87.67712,2016-06-21 05:15:26.274647
5869607,26957265,Entire home/apt,,West Town,2,,2,1.0,175.0,1.0,41.889181,-87.680117,2016-06-21 05:15:22.317146
4987768,25713694,Entire home/apt,,Near North,0,,7,2.0,400.0,1.0,41.89066,-87.630628,2016-06-21 05:15:11.918272
12039617,2496361,Entire home/apt,,Lake View,4,4.5,10,4.0,325.0,,41.953438,-87.668739,2016-06-21 05:15:07.529554
8782474,42524732,Shared room,,Ida B. Wells / Darrow Homes,3,5.0,1,1.0,25.0,1.0,41.825992,-87.617021,2016-06-21 05:14:59.284747
12884898,43023464,Entire home/apt,,Lake View East,0,,4,1.0,125.0,1.0,41.935685,-87.639718,2016-06-21 05:14:55.541396
201214,844195,Entire home/apt,,Bucktown,29,4.5,3,1.0,215.0,3.0,41.915759,-87.671719,2016-06-21 05:14:37.695483
13362497,18020547,Entire home/apt,,West Loop Gate,0,,2,0.0,97.0,5.0,41.882448,-87.640988,2016-06-21 05:14:34.148938
3088192,15710890,Entire home/apt,,Logan Square,122,5.0,7,2.0,170.0,1.0,41.931185,-87.711484,2016-06-21 05:14:19.503339
5041693,12743042,Entire home/apt,,West Town,15,5.0,6,2.0,165.0,2.0,41.893944,-87.685496,2016-06-21 05:14:06.923053
412182,2052009,Entire home/apt,,Palmer Square,43,5.0,2,1.0,129.0,2.0,41.918911,-87.699022,2016-06-21 05:13:48.573261
6224190,16498322,Private room,,Near North,1,,2,1.0,140.0,1.0,41.89959,-87.632095,2016-06-21 05:13:42.464408
13415903,13495628,Entire home/apt,,The Loop,0,,2,1.0,96.0,14.0,41.887031,-87.620704,2016-06-21 05:13:40.491433
10437238,53764428,Entire home/apt,,North Kenwood,4,5.0,8,3.0,185.0,,41.814796,-87.599171,2016-06-21 05:13:32.757995
12270647,7871107,Entire home/apt,,Hyde Park,1,,2,1.0,70.0,5.0,41.788814,-87.591786,2016-06-21 05:13:18.002073
8742524,624999,Entire home/apt,,Near West Side,2,,4,2.0,200.0,2.0,41.87703,-87.649735,2016-06-21 05:13:08.883372
13432952,12243051,Entire home/apt,,Bucktown,0,,6,3.0,800.0,3.0,41.918502,-87.677696,2016-06-21 05:13:06.028852
12272478,5214172,Private room,,Gold Coast,12,5.0,3,1.0,90.0,1.0,41.899844,-87.62466,2016-06-21 05:13:02.882522
8718559,10135434,Private room,,Wrigleyville,15,5.0,2,1.0,100.0,1.0,41.950916,-87.6557,2016-06-21 05:12:49.964112
11874273,63313003,Entire home/apt,,River North,0,,4,1.0,144.0,20.0,41.896166,-87.631298,2016-06-21 05:12:44.933297
8407130,44288084,Private room,,Buena Park,0,,2,1.0,50.0,1.0,41.957422,-87.654101,2016-06-21 05:12:16.443814
3895309,6437909,Shared room,,Lake View East,16,5.0,2,1.0,70.0,1.0,41.935159,-87.645338,2016-06-21 05:12:09.422186
12888957,24979320,Shared room,,Portage Park,4,5.0,4,1.0,22.0,2.0,41.950988,-87.78149,2016-06-21 05:12:06.397616
9351265,48532390,Private room,,Heart of Chicago,78,5.0,2,1.0,39.0,1.0,41.854854,-87.674353,2016-06-21 05:11:49.909646
3858062,4478270,Entire home/apt,,Park West,6,5.0,2,0.0,86.0,1.0,41.929818,-87.644392,2016-06-21 05:11:30.754063
