room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7282445,32239217,Entire home/apt,,Near North,59,4.5,3,0.0,135.0,1.0,41.900524,-87.631161,2016-04-18 01:18:28.553537
6263187,27487134,Entire home/apt,,Ravenswood,2,,3,1.0,95.0,1.0,41.962539,-87.678667,2016-04-18 01:18:24.309003
7204355,5580806,Entire home/apt,,Logan Square,0,,4,2.0,250.0,4.0,41.913347,-87.68961,2016-04-18 01:18:20.611373
12070978,64679076,Private room,,Park West,1,,2,1.0,55.0,2.0,41.932537,-87.644254,2016-04-18 01:18:14.532166
4243904,13543144,Entire home/apt,,Near North,3,4.5,3,1.0,75.0,1.0,41.899879,-87.628352,2016-04-18 01:18:08.062693
9699578,3795769,Entire home/apt,,The Loop,1,,5,2.0,94.0,2.0,41.887433,-87.620732,2016-04-18 01:18:04.007022
2968059,2382822,Entire home/apt,,Wicker Park,13,5.0,4,0.0,175.0,2.0,41.905858,-87.673277,2016-04-18 01:17:59.796167
12087574,21425912,Entire home/apt,,Roscoe Village,0,,10,3.0,375.0,1.0,41.943931,-87.67574,2016-04-18 01:17:47.447693
9281849,904726,Entire home/apt,,Bucktown,5,5.0,2,2.0,90.0,1.0,41.918551,-87.687371,2016-04-18 01:17:40.353966
11224315,38794890,Entire home/apt,,The Loop,5,4.5,3,1.0,128.0,,41.880553,-87.627649,2016-04-18 01:17:30.326711
7097488,34959956,Entire home/apt,,West Town,30,5.0,12,4.0,215.0,1.0,41.892937,-87.658652,2016-04-18 01:17:25.122846
9460525,38241112,Entire home/apt,,Logan Square,5,4.0,6,3.0,115.0,1.0,41.919601,-87.722571,2016-04-18 01:17:20.275972
7915564,26927186,Private room,,Logan Square,22,5.0,2,1.0,35.0,2.0,41.932506,-87.721183,2016-04-18 01:17:11.587973
9116898,47505428,Entire home/apt,,Near East Side,6,4.5,4,1.0,170.0,2.0,41.887587,-87.618819,2016-04-18 01:16:58.812397
11534650,27807183,Shared room,,Prairie District,1,,3,1.0,80.0,1.0,41.856681,-87.619545,2016-04-18 01:16:55.595276
9492005,49176275,Entire home/apt,,Lake View East,19,5.0,5,1.0,100.0,,41.938218,-87.637764,2016-04-18 01:16:51.165195
1332249,4392069,Private room,,Bucktown,29,4.5,2,1.0,140.0,1.0,41.910782,-87.684296,2016-04-18 01:16:42.725478
6653315,34823911,Entire home/apt,,Uptown,18,5.0,3,1.0,110.0,2.0,41.966902,-87.655846,2016-04-18 01:16:23.409949
12468866,50056338,Entire home/apt,,Lincoln Park,0,,3,1.0,99.0,1.0,41.9233,-87.644152,2016-04-18 01:16:16.013564
8403301,7179675,Entire home/apt,,Albany Park,13,4.5,2,,55.0,1.0,41.955285,-87.701309,2016-04-18 01:16:09.714573
7438631,17264639,Entire home/apt,,Logan Square,6,4.5,5,1.0,80.0,3.0,41.938026,-87.719876,2016-04-18 01:15:43.575914
5851115,28811949,Entire home/apt,,East Garfield Park,52,4.5,7,3.0,95.0,2.0,41.874776,-87.721309,2016-04-18 01:15:29.171482
8474113,33152384,Entire home/apt,,Noble Square,13,5.0,6,3.0,275.0,1.0,41.902272,-87.663463,2016-04-18 01:15:26.116708
8285575,43686738,Entire home/apt,,Lake View East,2,,4,1.0,70.0,1.0,41.941684,-87.643028,2016-04-18 01:15:14.869880
10386127,53466706,Entire home/apt,,Lathrop Homes,4,5.0,6,2.0,199.0,1.0,41.930052,-87.669277,2016-04-18 01:15:08.481362
12256611,34679541,Private room,,Dearborn Park,0,,2,1.0,89.0,1.0,41.867424,-87.628667,2016-04-18 01:14:05.774294
4596953,5358026,Entire home/apt,,Park West,7,5.0,2,1.0,150.0,1.0,41.9276,-87.641349,2016-04-18 01:14:02.065680
2570620,1214607,Entire home/apt,,Humboldt Park,140,5.0,4,0.0,65.0,1.0,41.898258,-87.703356,2016-04-18 01:13:59.535833
12171604,65384821,Entire home/apt,,Near East Side,0,,2,1.0,125.0,1.0,41.886038,-87.614194,2016-04-18 01:13:49.366345
9556796,49444514,Entire home/apt,,Lake View,12,5.0,6,2.0,120.0,1.0,41.93616,-87.672717,2016-04-18 01:13:42.318725
11698196,49626033,Entire home/apt,,Near East Side,0,,4,1.0,120.0,20.0,41.885837,-87.615871,2016-04-18 01:13:33.562213
5509649,1001376,Private room,,Humboldt Park,1,,2,1.0,80.0,1.0,41.900912,-87.706604,2016-04-18 01:13:31.270136
6144628,31874112,Entire home/apt,,Dearborn Park,1,,6,2.0,300.0,1.0,41.861795,-87.627949,2016-04-18 01:13:18.723528
6620933,9728432,Private room,,East Hyde Park,60,4.5,2,1.0,70.0,1.0,41.794737,-87.582321,2016-04-18 01:13:10.165417
3644021,18402462,Private room,,Logan Square,82,5.0,2,1.0,74.0,2.0,41.933479,-87.706697,2016-04-18 01:13:06.749351
